fecha,abrir,max,min,cerrar,cierre_ajustado,volumen,ticker
29 jul 2025,193.3,196.66,192.99,196.43,196.13,31891600,GOOG
28 jul 2025,194.41,194.82,191.85,193.42,193.12,25553500,GOOG
25 jul 2025,192.93,195.27,192.13,194.08,193.78,31101800,GOOG
24 jul 2025,198.11,198.97,191.95,193.2,192.9,45252100,GOOG
23 jul 2025,192.36,193.36,190.18,191.51,191.21,34068100,GOOG
22 jul 2025,192.42,193.36,188.49,192.11,191.81,26212900,GOOG
21 jul 2025,187.1,191.26,187.05,191.15,190.85,24665000,GOOG
18 jul 2025,186.62,187.36,184.73,185.94,185.65,21033400,GOOG
17 jul 2025,183.12,185.19,181.5,184.7,184.41,21654400,GOOG
16 jul 2025,184.32,185.34,183.08,183.77,183.49,21152600,GOOG
15 jul 2025,183.94,185.41,182.39,183.1,182.82,23911600,GOOG
14 jul 2025,182.07,184.73,180.71,182.81,182.53,20990400,GOOG
11 jul 2025,177.91,182.61,177.54,181.31,181.03,23975700,GOOG
10 jul 2025,176.67,179.59,175.74,178.7,178.42,24693700,GOOG
9 jul 2025,176.11,180.28,173.88,177.66,177.39,31288000,GOOG
8 jul 2025,178.78,178.79,173.92,175.16,174.89,24108600,GOOG
7 jul 2025,180.13,180.34,176.64,177.56,177.29,20991400,GOOG
3 jul 2025,179.82,180.77,178.19,180.55,180.27,13287400,GOOG
2 jul 2025,176.54,179.93,176.09,179.76,179.48,19325900,GOOG
1 jul 2025,176.8,177.22,174.66,176.91,176.64,25778500,GOOG
30 jun 2025,180.79,181.58,175.5,177.39,177.12,43964600,GOOG
27 jun 2025,174.63,178.84,172.71,178.27,177.99,74053100,GOOG
26 jun 2025,173.38,174.65,170.86,174.43,174.16,25909100,GOOG
25 jun 2025,168.65,173.36,168.56,171.49,171.23,23627400,GOOG
24 jun 2025,167.68,169.25,166.91,167.74,167.48,27310300,GOOG
23 jun 2025,167.32,168.48,163.33,166.01,165.75,36975600,GOOG
20 jun 2025,174.87,175.37,166.27,167.73,167.47,55402600,GOOG
